Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,23,SF,24,24,41,8.4,19.7,0.426,3.2,8.2,0.393,5.2,11.5,0.449,0.507,5.7,7.1,0.8,1,5.7,6.7,6.2,1.2,0.9,4.2,3,25.6,
2,Jaylen Brown,25,SF,24,24,38.3,8.2,17.5,0.47,2.5,6.7,0.373,5.7,10.8,0.531,0.542,4.2,5.5,0.763,1.4,5.5,6.9,3.5,1.1,0.4,3.1,3,23.1,
3,Marcus Smart,27,PG,21,21,36.2,5.4,13.3,0.405,2.3,6.5,0.35,3.1,6.8,0.458,0.491,2.4,3,0.806,1,3.6,4.5,5.9,1.2,0.2,2.5,3.4,15.4,
4,Al Horford,35,C,23,23,35.4,4.4,8.4,0.523,2,4.3,0.48,2.3,4.1,0.568,0.645,1.2,1.6,0.778,1.5,7.8,9.3,3.3,0.8,1.3,1.3,2.8,12,
5,Grant Williams,23,PF,24,5,27.3,2.7,6.3,0.433,1.5,3.7,0.393,1.3,2.5,0.492,0.55,1.8,2.2,0.808,1,2.8,3.8,0.8,0.3,0.8,0.8,3.5,8.6,
6,Derrick White,27,SG,23,3,25.4,2.8,7.7,0.364,1.1,3.6,0.313,1.7,4,0.409,0.438,1.8,2.2,0.824,0.3,2.7,3,2.7,0.9,0.6,1.3,2,8.5,
7,Robert Williams,24,C,17,15,23.2,3.1,4.6,0.679,0,0.1,0,3.1,4.5,0.688,0.679,1.5,1.6,0.893,2.5,3.6,6.2,1,0.7,2.2,0.6,2,7.7,
8,Payton Pritchard,24,PG,24,0,12.9,1.8,4.3,0.422,1,3,0.333,0.8,1.3,0.633,0.539,0.2,0.3,0.667,0.4,1.5,1.9,1.6,0.3,0.1,0.4,1,4.8,
9,Daniel Theis,29,C,16,5,12.5,1.9,3.2,0.588,0.2,0.9,0.214,1.7,2.3,0.73,0.618,0.4,0.5,0.75,0.8,2.4,3.3,0.7,0.3,0.5,0.7,1.6,4.3,
10,Aaron Nesmith,22,SF,15,0,3.5,0.3,1.1,0.235,0.1,0.7,0.091,0.2,0.4,0.5,0.265,0.2,0.3,0.75,0.3,0.7,1,0.2,0.1,0.3,0.1,0.4,0.8,
11,Sam Hauser,24,SF,7,0,2.1,0.1,0.6,0.25,0.1,0.4,0.333,0,0.1,0,0.375,0.3,0.3,1,0,0.1,0.1,0.3,0,0,0,0,0.7,
12,Luke Kornet,26,C,9,0,2.1,0.3,0.4,0.75,0.1,0.1,1,0.2,0.3,0.667,0.875,0,0,,0.1,0.4,0.6,0.1,0,0,0.1,0.1,0.8,
13,Malik Fitts,24,PF,9,0,1.8,0.3,0.4,0.75,0.2,0.2,1,0.1,0.2,0.5,1,0,0,,0,0.2,0.2,0,0,0,0,0,0.9,
14,Nik Stauskas,28,SG,13,0,1.8,0.2,0.9,0.25,0.2,0.8,0.3,0,0.2,0,0.375,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0,0,1,
15,Juwan Morgan,24,PF,9,0,1.7,0,0.1,0,0,0.1,0,0,0,,0,0.1,0.2,0.5,0.2,0.1,0.3,0,0,0,0,0.1,0.1,
,Team Totals,,,24,24,240,36.7,81.8,0.449,13.7,36.6,0.373,23,45.1,0.511,0.533,18.5,23.2,0.797,9,33.9,42.9,24.5,6.4,6.3,14.7,20.7,105.5,
